l1,l2,name,action,sku,link,note
Industrial Hose Couplings,Cam & Groove Couplings,Standard Type A: Female NPT x Male Adapter Cam and Groove Coupling,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Standard Type B: Female Coupler x Male NPT Cam and Groove Coupling,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Standard Type C: Female Coupler x Shank Cam and Groove Coupling,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Standard Type D: Female Coupler x Female NPT Cam and Groove Coupling,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Standard Type E: Male Adapter x Shank Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Standard Type F: Male Adapter x Male NPT Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Standard Type DC: Coupler Dust Caps,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Standard Type DP Dust Plug Adapters,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,CrimpTEK Type C: Female Coupler x Crimp Shank Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,CrimpTEK Type E: Male Coupler x Crimp Shank Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Self Locking: Type B Female Coupler x Male NPT Self-Locking Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Self Locking: Type C Female Coupler x Hose Shank Self Locking Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Self Locking: Type DA Female Coupler x Male Adapter Self-Locking Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Self Locking: Type D Female Coupler x Female NPT Self-Locking Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Self Locking: Type DC Stainless Steel Coupler Dust Caps,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Self Locking Type DD: Female Coupler x Female Coupler Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Type A Elbow: Male Adapter x Female NPT 90 Degree Elbow Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Type B Elbow: Female Coupler x Male NPT 90 Degree Elbows,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Type C Elbow: Female Coupler x Shank 90 Degree Elbow Cam and Groove Coupling,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Type D Elbow: Female Coupler x Female NPT 90 Degree Elbow Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Type E Male Adapter x Shank 90 Degree Elbow Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Type F Male Adapter x Male NPT Elbow 90 Degree Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Type DA Female Coupler x Male 90 Degree Elbow Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
Industrial Hose Couplings,Cam & Groove Couplings,Type DA Female Coupler x Male Adapter 45 Degree Elbow Cam and Groove Couplings,already-imaged,,,no source link in the workbook; covered by the Sealfast import (PR #228)
