sku,ourTitle,dupontSlug,confidence,note
IH-LUB-1000,Molykote 1000,molykote-1000-paste,confirmed,
IH-LUB-106-ANTI-FRICTION-COATING,Molykote 106 Anti Friction Coating,molykote-106-anti-friction-coating,confirmed,exact
IH-LUB-111-COMPOUND,Molykote 111 Compound,molykote-111-compound,confirmed,exact
IH-LUB-1122-CHAIN-AND-OPEN-AIR-GREASE,Molykote 1122 Chain and Open Air Grease,molykote-1122-chain-and-open-gear-grease,confirmed,our title says Air; DuPont says Gear - same product
IH-LUB-33-MED,Molykote 33 MED,molykote-33-medium-extreme-low-temperature-grease,confirmed,MED=Medium; 33 Light is the distinct sibling
IH-LUB-3400-A,Molykote 3400 A,molykote-3400a-anti-friction-coating-lf,confirmed,
IH-LUB-3402-C,Molykote 3402 C,molykote-3402-c-lf-anti-friction-coating,confirmed,
IH-LUB-3451-CHEMICAL-RESISTANT-BEARING-GREASE,Molykote 3451 Chemical Resistant Bearing Grease,molykote-3451-chemical-resistant-bearing-grease,confirmed,exact
IH-LUB-3452-CHEMICAL-RESISTANT-VALVE-GREASE,Molykote 3452 Chemical Resistant Valve Grease,molykote-3452-chemical-resistant-valve-grease,confirmed,exact
IH-LUB-41-EXTREME-HIGH-TEMPERATURE-BEARING-GREASE,Molykote 41 Extreme High Temperature Bearing Grease,molykote-41-extreme-high-temperature-grease,confirmed,
IH-LUB-44-LIGHT,Molykote 44 Light,molykote-44-light-high-temperature-grease,confirmed,
IH-LUB-44-MED,Molykote 44 MED,molykote-44-medium-high-temperature-grease,confirmed,MED=Medium
IH-LUB-55-O-RING-GREASE,Molykote 55 O-Ring Grease,molykote-55-o-ring-grease,confirmed,exact
IH-LUB-7,Molykote 7,molykote-7-release-compound,confirmed,our category is Compounds
IH-LUB-7325,Molykote 7325,molykote-7325-grease,confirmed,NOTE DuPont classes this a grease; we file it under Anti-Friction Coatings
IH-LUB-7400,Molykote 7400,molykote-7400-anti-friction-coating,confirmed,
IH-LUB-7409,Molykote 7409,molykote-d-7409-anti-friction-coating,confirmed,DuPont prefixes D-; consistent with the D-series family
IH-LUB-BG-20-GREASE,Molykote BG-20 Grease,molykote-bg-20-synthetic-bearing-grease,confirmed,
IH-LUB-BR-2-PLUS,Molykote BR-2 Plus,molykote-br-2-plus-high-performance-grease,confirmed,
IH-LUB-D321-ANTI-FRICTION,Molykote D321 Anti-Friction,molykote-d-321-r-anti-friction-coating,confirmed,non-spray variant chosen; a Spray page also exists
IH-LUB-DC-HVG,Molykote DC HVG,molykote-high-vacuum-grease,confirmed,DC HVG = Dow Corning High Vacuum Grease; DuPont desc confirms silicone
IH-LUB-DX-PASTE,Molykote DX Paste,molykote-dx-s-paste,confirmed,DuPont lists as DX (S) Paste
IH-LUB-EM-30L,Molykote EM-30L,molykote-em-30l-grease,confirmed,
IH-LUB-G-RAPID-PLUS-PASTE-1KG,Molykote G Rapid Plus Paste 1KG,molykote-g-rapid-plus-paste,confirmed,non-spray; DuPont lists a 1 kg can size
IH-LUB-G4700-EXTREME-PRESSURE-SYNTHETIC-GREASE,Molykote G4700 Extreme Pressure Synthetic Grease,molykote-g-4700-extreme-pressure-synthetic-grease,confirmed,exact
IH-LUB-GN-PLUS,Molykote GN Plus,molykote-g-n-plus-paste,confirmed,
IH-LUB-HP-300,Molykote HP-300,molykote-hp-300-grease,confirmed,
IH-LUB-HP-500,Molykote HP-500,molykote-hp-500-grease,confirmed,
IH-LUB-HP-870,Molykote HP-870,molykote-hp-870-grease,confirmed,
IH-LUB-HSC-PLUS-PASTE,Molykote HSC Plus Paste,molykote-hsc-plus-paste,confirmed,exact
IH-LUB-LONG-TERM-2-PLUS-EXTREME-PRESSURE,Molykote Long Term 2 Plus Extreme Pressure,molykote-longterm-2-plus-extreme-pressure-bearing-grease,confirmed,
IH-LUB-M-77-ASSEMBLY-PASTE,Molykote M-77 Assembly Paste,molykote-m-77-paste,confirmed,
IH-LUB-MULTILUB-HIGH-PERFORMANCE-GREASE,Molykote MultiLub High Performance Grease,molykote-multilub-high-performance-grease,confirmed,exact
IH-LUB-P37,Molykote P37,molykote-p-37-antiseize-paste,confirmed,
IH-LUB-P40,Molykote P40,molykote-p-40-s-paste,confirmed,DuPont lists as P-40 (S)
