sku,title,categorySlug,dupontTitle,dupontUrl,hasImage,specs,faqs,datasheet
IH-LUB-D-321-R-ANTI-FRICTION-COATING-SPRAY,Molykote D-321 R Anti-Friction Coating Spray,molykote-anti-friction-coatings,MOLYKOTE® D-321 R Anti-Friction Coating Spray,https://www.dupont.com/products/molykote-d-321-r-anti-friction-coating-spray.html,yes,7,7,yes
IH-LUB-1122-CHAIN-GREASE-SPRAY,Molykote 1122 Chain Grease Spray,molykote-dispersions,MOLYKOTE® 1122 Chain Grease Spray,https://www.dupont.com/products/molykote-1122-chain-grease-spray.html,yes,9,7,yes
IH-LUB-G-4500-FM-MULTI-PURPOSE-SYNTHETIC-GREASE-SPR,Molykote G-4500 FM Multi-Purpose Synthetic Grease Spray,molykote-dispersions,MOLYKOTE® G-4500 FM Multi-Purpose Synthetic Grease Spray,https://www.dupont.com/products/molykote-g-4500-fm-multi-purpose-synthetic-grease-spray.html,yes,9,7,yes
IH-LUB-CU-7439-PLUS-PASTE-SPRAY-V1,Molykote CU-7439 Plus Paste Spray V1,molykote-pastes,MOLYKOTE® CU-7439 Plus Paste Spray V1,https://www.dupont.com/products/molykote-cu-7439-plus-paste-spray-v1.html,yes,6,7,yes
IH-LUB-G-RAPID-PLUS-PASTE-SPRAY,Molykote G-Rapid Plus Paste Spray,molykote-pastes,MOLYKOTE® G-Rapid Plus Paste Spray,https://www.dupont.com/products/molykote-g-rapid-plus-paste-spray.html,yes,6,7,yes
IH-LUB-33-LIGHT-EXTREME-LOW-TEMPERATURE-GREASE,Molykote 33 Light Extreme Low Temperature Grease,molykote-greases,MOLYKOTE® 33 Light Extreme Low Temperature Grease,https://www.dupont.com/products/molykote-33-light-extreme-low-temperature-grease.html,yes,9,7,yes
IH-LUB-G-4500-FMS-MULTI-PURPOSE-SYNTHETIC-GREASE,Molykote G-4500 FMS Multi-Purpose Synthetic Grease,molykote-greases,MOLYKOTE® G-4500 FMS Multi-Purpose Synthetic Grease,https://www.dupont.com/products/molykote-g-4500-fms-multi-purpose-synthetic-grease.html,yes,9,7,yes
IH-LUB-557-SILICONE-DRY-FILM-LUBRICANT-AEROSOL,Molykote 557 Silicone Dry Film Lubricant (Aerosol),molykote-dispersions,MOLYKOTE® 557 Silicone Dry Film Lubricant (Aerosol),https://www.dupont.com/products/molykote-557-silicone-dry-film-lubricant-aerosol.html,yes,6,7,yes
IH-LUB-D-6818-ANTI-FRICTION-COATING,Molykote D-6818 Anti-Friction Coating,molykote-anti-friction-coatings,MOLYKOTE® D-6818 Anti-Friction Coating,https://www.dupont.com/products/molykote-d-6818-anti-friction-coating.html,yes,7,7,yes
IH-LUB-D-96-ANTI-FRICTION-COATING,Molykote D-96 Anti-Friction Coating,molykote-anti-friction-coatings,MOLYKOTE® D-96 Anti-Friction Coating,https://www.dupont.com/products/molykote-d-96-anti-friction-coating.html,yes,7,7,yes
IH-LUB-FOOD-MACHINERY-OIL-SPRAY,Molykote Food Machinery Oil Spray,molykote-dispersions,MOLYKOTE® Food Machinery Oil Spray,https://www.dupont.com/products/molykote-food-machinery-oil-spray.html,yes,8,7,yes
IH-LUB-G-N-METAL-ASSEMBLY-SPRAY,Molykote G-n Metal Assembly Spray,molykote-pastes,MOLYKOTE® G-n Metal Assembly Spray,https://www.dupont.com/products/molykote-g-n-metal-assembly-spray.html,yes,6,6,yes
IH-LUB-P-1900-FM-PASTE-SPRAY,Molykote P-1900 FM Paste Spray,molykote-pastes,MOLYKOTE® P-1900 FM Paste Spray,https://www.dupont.com/products/molykote-p-1900-fm-paste-spray.html,yes,7,7,yes
IH-LUB-557-SILICONE-DRY-FILM-LUBRICANT,Molykote 557 Silicone Dry Film Lubricant,molykote-dispersions,MOLYKOTE® 557 Silicone Dry Film Lubricant,https://www.dupont.com/products/molykote-557-silicone-dry-film-lubricant.html,yes,6,7,yes
IH-LUB-D-10-GBL-ANTI-FRICTION-COATING,Molykote D-10-GBL Anti-Friction Coating,molykote-anti-friction-coatings,MOLYKOTE® D-10-GBL Anti-Friction Coating,https://www.dupont.com/products/molykote-d-10-gbl-anti-friction-coating.html,yes,7,7,yes
IH-LUB-D-3484-ANTI-FRICTION-COATING,Molykote D-3484 Anti-Friction Coating,molykote-anti-friction-coatings,MOLYKOTE® D-3484 Anti-Friction Coating,https://www.dupont.com/products/molykote-d-3484-anti-friction-coating.html,yes,7,7,yes
IH-LUB-D-6024-ANTI-FRICTION-COATING,Molykote D-6024 Anti-Friction Coating,molykote-anti-friction-coatings,MOLYKOTE® D-6024 Anti-Friction Coating,https://www.dupont.com/products/molykote-d-6024-anti-friction-coating.html,yes,7,7,yes
IH-LUB-D-6600-ANTI-FRICTION-COATING,Molykote D-6600 Anti-Friction Coating,molykote-anti-friction-coatings,MOLYKOTE® D-6600 Anti-Friction Coating,https://www.dupont.com/products/molykote-d-6600-anti-friction-coating.html,yes,7,7,yes
IH-LUB-D-708-ANTI-FRICTION-COATING,Molykote D-708 Anti-Friction Coating,molykote-anti-friction-coatings,MOLYKOTE® D-708 Anti-Friction Coating,https://www.dupont.com/products/molykote-d-708-anti-friction-coating.html,yes,7,7,yes
IH-LUB-D-7620-ANTI-FRICTION-COATING,Molykote D-7620 Anti-Friction Coating,molykote-anti-friction-coatings,MOLYKOTE® D-7620 Anti-Friction Coating,https://www.dupont.com/products/molykote-d-7620-anti-friction-coating.html,NO,7,7,yes
