image,sheetTitle,productSku,productSlug,productTitle,category,confidence,method,score
HP001.png,R1 1SN,IH-HOSE-R1-1SN,r1-1sn-single-wire-braid-hydraulic-hose,R1 1SN Single Wire Braid Hydraulic Hose,Hydraulic Hoses,strong,prefix,107
HP002.png,R2 2SN Double Wire,IH-HOSE-R2-2SN,r2-2sn-double-wire-braid-hydraulic-hose,R2 2SN Double Wire Braid Hydraulic Hose,Hydraulic Hoses,strong,prefix,103
HP004.png,2SC,IH-HOSE-2SC,2sc-compact-two-wire-braid-hose,2SC Compact Two Wire Braid Hose,Hydraulic Hoses,strong,prefix,101
HP005.png,4SP,IH-HOSE-4SP,4sp-four-spiral-hydraulic-hose,4SP Four-Spiral Hydraulic Hose,Hydraulic Hoses,strong,prefix,102
HP006.png,4SH,IH-HOSE-4SH,4sh-four-spiral-heavy-duty-hydraulic-hose,4SH Four-Spiral Heavy-Duty Hydraulic Hose,Hydraulic Hoses,strong,prefix,100
HP007.png,R13,IH-HOSE-R13,r13-multi-spiral-very-high-pressure-hose,R13 Multi-Spiral Very-High-Pressure Hose,Hydraulic Hoses,strong,prefix,100
HP009.png,R15,IH-HOSE-R15,r15-six-spiral-ultra-high-pressure-hose,R15 Six-Spiral Ultra-High-Pressure Hose,Hydraulic Hoses,strong,prefix,100
HP010.png,R14,IH-HOSE-R14,r14-ptfe-hydraulic-hose,R14 PTFE Hydraulic Hose,Hydraulic Hoses,strong,prefix,103
HP012.png,R5,IH-HOSE-R5,r5-textile-cover-single-wire-braid-hose,R5 Textile-Cover Single Wire Braid Hose,Hydraulic Hoses,strong,prefix,100
HP013.png,R6,IH-HOSE-R6,r6-single-fibre-braid-low-pressure-hose,R6 Single Fibre Braid Low-Pressure Hose,Hydraulic Hoses,strong,prefix,100
HP014.png,R3,IH-HOSE-R3,r3-two-fibre-braid-hydraulic-hose,R3 Two-Fibre Braid Hydraulic Hose,Hydraulic Hoses,strong,prefix,101
HP015.png,R7 Thermoplastic Hose,IH-HOSE-R7-TP,r7-thermoplastic-hydraulic-hose,R7 Thermoplastic Hydraulic Hose,Thermoplastic Hoses,good,tokens-subset,91
HP016.png,R8 Thermoplastic Hose,IH-HOSE-R8-TP,r8-thermoplastic-hydraulic-hose,R8 Thermoplastic Hydraulic Hose,Thermoplastic Hoses,good,tokens-subset,91
HP017.png,No Skive 1SN-2SN,IH-CF-NS-1SN2SN,no-skive-crimp-ferrule-for-1sn-2sn-hose,No-Skive Crimp Ferrule for 1SN / 2SN Hose,Crimp Ferrules,good,tokens-subset,72
HP018.png,No Skive R1T-1SN,IH-CF-NS-R1T1SN,no-skive-crimp-ferrule-for-r1at-1sn-hose,No-Skive Crimp Ferrule for R1AT / 1SN Hose,Crimp Ferrules,strong,sku-tail,90
HP019.png,No Skive R2T-2SN,IH-CF-NS-R2T2SN,no-skive-crimp-ferrule-for-r2at-2sn-hose,No-Skive Crimp Ferrule for R2AT / 2SN Hose,Crimp Ferrules,strong,sku-tail,90
HP020.png,Skive R1A-1ST,IH-CF-SK-R1A1ST,skive-crimp-ferrule-for-r1a-1st-hose,Skive Crimp Ferrule for R1A / 1ST Hose,Crimp Ferrules,good,tokens-subset,72
HP021.png,Skive R2A-2ST,IH-CF-SK-R2A2ST,skive-crimp-ferrule-for-r2a-2st-hose,Skive Crimp Ferrule for R2A / 2ST Hose,Crimp Ferrules,good,tokens-subset,72
HP022.png,Skive R9,IH-CF-SK-R9,skive-crimp-ferrule-for-r9-hose,Skive Crimp Ferrule for R9 Hose,Crimp Ferrules,good,tokens-subset,72
HP023.png,Skive 4SP,IH-CF-SK-4SP,skive-crimp-ferrule-for-4sp-hose,Skive Crimp Ferrule for 4SP Hose,Crimp Ferrules,good,tokens-subset,72
HP024.png,Skive 4SH/10-16,IH-CF-SK-4SH-1016,skive-crimp-ferrule-for-4sh-hose-dn10-dn16,"Skive Crimp Ferrule for 4SH Hose, DN10–DN16",Crimp Ferrules,good,sku-fuzzy,81
HP025.png,Skive R12/06-16,IH-CF-SK-R12-0616,skive-crimp-ferrule-for-r12-hose-dn6-dn16,"Skive Crimp Ferrule for R12 Hose, DN6–DN16",Crimp Ferrules,good,sku-fuzzy,81
HP026.png,"Skive DIN 20023 4SH, R12-32 Hose",IH-CF-SK-DIN20023,skive-crimp-ferrule-din-20023-for-4sh-r12-32-hose,Skive Crimp Ferrule (DIN 20023) for 4SH / R12-32 Hose,Crimp Ferrules,good,tokens-subset,75
HP027.png,Skive 4SH - Interlock,IH-CF-SK-4SH-IL,skive-interlock-crimp-ferrule-for-4sh-hose,Skive Interlock Crimp Ferrule for 4SH Hose,Crimp Ferrules,good,tokens-subset,72
HP028.png,Double Skive R13,IH-CF-DS-R13,double-skive-crimp-ferrule-for-r13-hose,Double-Skive Crimp Ferrule for R13 Hose,Crimp Ferrules,good,tokens-subset,72
HP029.png,No Skive R7-R8,IH-CF-NS-R7R8,no-skive-crimp-ferrule-for-r7-r8-thermoplastic-hose,No-Skive Crimp Ferrule for R7 / R8 Thermoplastic Hose,Crimp Ferrules,good,tokens-subset,69
HP030.png,Teflon Hose,IH-CF-TEFLON,specialty-crimp-ferrule-for-ptfe-teflon-hose,Specialty Crimp Ferrule for PTFE / Teflon Hose,Crimp Ferrules,strong,substring,81
HP031.png,Banjo Bolt Metric,IH-MF-BANJO-BOLT,banjo-bolt-metric-thread,Banjo Bolt — Metric Thread,Metric Hose Fittings,strong,prefix,105
HP032.png,Metric Banjo,IH-MF-BANJO,banjo-eye-fitting-metric-thread,Banjo Eye Fitting — Metric Thread,Metric Hose Fittings,good,tokens-subset,85
HP033.png,90° Metric Female 60° Cone,IH-MF-FEM-60-90,90-metric-female-60-cone-hose-fitting,90° Metric Female 60° Cone Hose Fitting,Metric Hose Fittings,strong,prefix,110
HP034.png,Metric Male 60° Cone Seat,IH-MF-MAL-60-SEAT,metric-male-60-cone-seat-hose-fitting,Metric Male 60° Cone Seat Hose Fitting,Metric Hose Fittings,strong,prefix,94
HP035.png,Metric Female 60° Cone,IH-MF-FEM-60,metric-female-60-cone-hose-fitting,Metric Female 60° Cone Hose Fitting,Metric Hose Fittings,strong,prefix,94
HP036.png,90° Metric Standpipe,IH-DF-STANDPIPE-90,90-metric-standpipe-tube-fitting-din-2353,90° Metric Standpipe Tube Fitting (DIN 2353),DIN Hose Fittings,strong,prefix,102
HP037.png,45° Metric Standpipe,IH-DF-STANDPIPE-45,45-metric-standpipe-tube-fitting-din-2353,45° Metric Standpipe Tube Fitting (DIN 2353),DIN Hose Fittings,strong,prefix,102
HP038.png,Metric Standpipe,IH-DF-STANDPIPE,metric-standpipe-tube-fitting-din-2353,Metric Standpipe Tube Fitting (DIN 2353),DIN Hose Fittings,strong,prefix,102
HP039.png,90° Metric Female 24° O-ring Cone L/S,IH-DF-FEM-24-OR-LS-90,90-metric-female-24-o-ring-cone-light-series-hose-fitting,90° Metric Female 24° O-ring Cone (Light Series) Hose Fitting,DIN Hose Fittings,strong,prefix,110
HP040.png,45° Metric Female 24° O-ring Cone L/S,IH-DF-FEM-24-OR-LS-45,45-metric-female-24-o-ring-cone-light-series-hose-fitting,45° Metric Female 24° O-ring Cone (Light Series) Hose Fitting,DIN Hose Fittings,strong,prefix,110
