sku,ourTitle,sealfastSlug,sealfastTitle,confidence,score,note
IH-BC-FLANGE-FEMALE,Zinc Plated Steel Female Flanged Bauer Type Couplings,flanged__zinc-plated-steel-female-flanged-couplings,Zinc Plated Steel Female Flanged Bauer Type Couplings,confirmed,0.95,
IH-BC-FLANGE-SET,Zinc Plated Steel Flanged Bauer Type Coupling Complete Set,flanged__zinc-plated-steel-flanged-coupling-complete-set,Zinc Plated Steel Flanged Bauer Type Coupling Complete Set,confirmed,0.95,
IH-BC-FLANGE-MALE-SET,Zinc Plated Steel Flanged Bauer Type Male Threaded Coupling Complete Set,male-threaded__zinc-flanged-bauer-male-threaded-couplings-complet,Zinc Plated Steel Flanged Bauer Type Male NPT Threaded Couplings Complete Set,confirmed,manual,"male-threaded variant, not the plain complete set"
IH-BC-SHANK-COMPLETE,Zinc Plated Steel Hose Shank Bauer Type Coupling Complete Set,hose-shank__zinc-steel-hose-shank-bauer-coupling-complete-set,Zinc Plated Steel Hose Shank Bauer Type Coupling Complete Set,confirmed,0.95,
IH-BC-SHANK-FEMALE,Zinc Plated Steel Hose Shank Bauer Type Female Couplings,hose-shank__zinc-plated-steel-hose-shank-bauer-type-female-cou,Zinc Plated Steel Hose Shank Bauer Type Female Couplings,confirmed,0.95,
IH-BC-SHANK-MALE,Zinc Plated Steel Hose Shank Bauer Type Male Couplings,hose-shank__zinc-plated-steel-hose-shank-bauer-type-male-coupl,Zinc Plated Steel Hose Shank Bauer Type Male Couplings,confirmed,0.95,
IH-BC-LEVER-RING,Zinc Plated Steel Lever Rings (Bauer Type),bauer-type__zinc-plated-steel-lever-rings-2,Zinc Plated Steel Lever Rings,confirmed,0.734,
IH-BC-FLANGE-MALE,Zinc Plated Steel Male Flanged Bauer Type Couplings,flanged__zinc-plated-steel-male-flanged-couplings,Zinc Plated Steel Male Flanged Bauer Type Couplings,confirmed,0.95,
IH-BC-MALE-FEMALE,Zinc Plated Steel Male Threaded Female Bauer Type Couplings,male-threaded__zinc-plated-steel-male-threaded-female-couplings,Zinc Plated Steel Male NPT Threaded Female Bauer Type Couplings,confirmed,0.79,
IH-BC-MALE-MALE,Zinc Plated Steel Male Threaded Male Bauer Type Couplings,male-threaded__zinc-plated-steel-male-threaded-male-couplings,Zinc Plated Steel Male Threaded NPT Male Bauer Type Couplings,confirmed,0.787,
IH-CGC-CT-C,CrimpTEK Type C: Female Coupler × Crimp Shank Cam and Groove Coupling,type-c-__aluminum-crimp-shank-cam-and-groove-couplings,Aluminum Type C Female Coupler x Crimp Shank Cam and Groove Couplings,confirmed,0.818,
IH-CGC-CT-E,CrimpTEK Type E: Male Adapter × Crimp Shank Cam and Groove Coupling,type-e-__aluminum-type-e-cam-and-groove-couplings,Aluminum Type E Male Coupler x Crimp Shank Cam and Groove Couplings,confirmed,0.785,
IH-CGC-SL-B,Self-Locking Type B: Female Coupler × Male NPT Self-Locking Cam and Groove Coupling,type-b-1__aluminum-b-self-locking-cam-and-groove-couplings,Aluminum Type B Female Coupler x Male NPT Self-Locking Cam and Groove Couplings,confirmed,0.845,
IH-CGC-SL-C,Self-Locking Type C: Female Coupler × Hose Shank Self-Locking Cam and Groove Coupling,type-c-2__aluminum-c-self-locking-cam-and-groove-couplings,Aluminum Type C Female Coupler x Hose Shank Self-Locking Cam and Groove Couplings,confirmed,0.845,
IH-CGC-SL-D,Self-Locking Type D: Female Coupler × Female NPT Self-Locking Cam and Groove Coupling,type-d-1__aluminum-d-self-locking-cam-and-groove-couplings,Aluminum Type D Female Coupler x Female NPT Self-Locking Cam and Groove Couplings,confirmed,0.839,
IH-CGC-SL-DA,Self-Locking Type DA: Female Coupler × Male Adapter Self-Locking Cam and Groove Coupling,type-da__type-da-self-locking-cam-and-groove-couplings,316 Stainless Steel Type DA Female Coupler x Male Adapter Self-Locking Cam and Groove Couplings,confirmed,0.799,
IH-CGC-SL-DC,Self-Locking Type DC Stainless Steel Coupler Dust Cap,type-dc-1__nless-steel-type-dc-self-locking-coupler-dust-caps,316 Stainless Steel Type DC Self-Locking Coupler Dust Caps,confirmed,0.918,
IH-CGC-SL-DD,Self-Locking Type DD: Female Coupler × Female Coupler Cam and Groove Coupling,type-dd__type-dd-self-locking-cam-and-groove-couplings,316 Stainless Steel Type DD Female Coupler x Female Coupler Self-Locking Cam and Groove Couplings,confirmed,0.785,
IH-CGC-STD-A,Standard Type A: Female NPT × Male Adapter Cam and Groove Coupling,type-a__aluminum-type-a-cam-and-groove-couplings,Aluminum Type A Female NPT x Male Adapter Cam and Groove Couplings,confirmed,0.818,
IH-CGC-STD-B,Standard Type B: Female Coupler × Male NPT Cam and Groove Coupling,type-b__aluminum-male-npt-cam-and-groove-couplings,Aluminum Type B Female Coupler x Male NPT Cam and Groove Couplings,confirmed,0.818,
IH-CGC-STD-C,Standard Type C: Female Coupler × Shank Cam and Groove Coupling,type-c__aluminum-type-c-cam-and-groove-couplings,Aluminum Type C Female Coupler x Shank Cam and Groove Couplings,confirmed,0.81,
IH-CGC-STD-D,Standard Type D: Female Coupler × Female NPT Cam and Groove Coupling,type-d__aluminum-type-d-cam-and-groove-couplings,Aluminum Type D Female Coupler x Female NPT Cam and Groove Couplings,confirmed,0.81,
IH-CGC-STD-DC,Standard Type DC: Coupler Dust Cap,type-dc__aluminum-type-dc-coupler-dust-caps,Aluminum Type DC Coupler Dust Caps,confirmed,0.775,
IH-CGC-STD-DP,Standard Type DP Dust Plug Adapter,type-dp__aluminum-type-dp-dust-plug-adapters,Aluminum Type DP Dust Plug Adapters,confirmed,0.775,
IH-CGC-STD-E,Standard Type E: Male Adapter × Shank Cam and Groove Coupling,type-e__aluminum-type-e-shank-cam-and-groove-couplings,Aluminum Type E Male Adapter x Shank Cam and Groove Couplings,confirmed,0.81,
IH-CGC-STD-F,Standard Type F: Male Adapter × Male NPT Cam and Groove Coupling,type-f__aluminum-type-f-cam-and-groove-couplings,Aluminum Type F Male Adapter x Male NPT Cam and Groove Couplings,confirmed,0.81,
IH-CGC-90-A,Type A 90° Elbow: Male Adapter × Female NPT Cam and Groove Coupling,type-a-1__type-a-90-degree-elbow-cam-and-groove-couplings,Aluminum Type A Male Adapter x Female NPT 90 Degree Elbow Cam and Groove Couplings,confirmed,0.801,
IH-CGC-90-B,Type B 90° Elbow: Female Coupler × Male NPT Cam and Groove Coupling,type-b-2__female-coupler-x-male-npt-90-degree-elbows,Aluminum Type B Female Coupler x Male NPT 90 Degree Elbows,confirmed,0.731,
IH-CGC-90-C,Type C 90° Elbow: Female Coupler × Shank Cam and Groove Coupling,type-c-3__type-c-90-degree-elbow-cam-and-groove-couplings,Aluminum Type C Female Coupler x Shank 90 Degree Elbow Cam and Groove Couplings,confirmed,0.794,
IH-CGC-90-D,Type D 90° Elbow: Female Coupler × Female NPT Cam and Groove Coupling,type-d-2__type-d-90-degree-elbow-cam-and-groove-couplings,Aluminum Type D Female Coupler x Female NPT 90 Degree Elbow Cam and Groove Couplings,confirmed,0.794,
IH-CGC-45-DA,Type DA 45° Elbow: Female Coupler × Male Adapter Cam and Groove Coupling,type-45-da__aluminum-45-degree-elbow-cam-and-groove-couplings,Aluminum Type DA Female Coupler x Male Adapter 45 Degree Elbow Cam and Groove Couplings,confirmed,0.801,
IH-CGC-90-DA,Type DA 90° Elbow: Female Coupler × Male Adapter Cam and Groove Coupling,type-90-da__aluminum-da-90-elbow-cam-and-groove-couplings,Aluminum Type DA Female Coupler x Male 90 Degree Elbow Cam and Groove Couplings,confirmed,0.784,
IH-CGC-90-DD,Type DD 90° Elbow: Female Coupler × Female Coupler Cam and Groove Coupling,type-90-dd__aluminum-type-dd-90-elbow-cam-and-groove-couplings,Aluminum Type DD 90 Degree Elbow Cam and Groove Couplings,confirmed,0.754,
IH-CGC-90-E,Type E 90° Elbow: Male Adapter × Shank Cam and Groove Coupling,type-e-2__r-x-shank-90-degree-elbow-cam-and-groove-couplings,Aluminum Type E Male Adapter x Shank 90 Degree Elbow Cam and Groove Couplings,confirmed,0.794,
IH-CGC-90-F,Type F 90° Elbow: Male Adapter × Male NPT Cam and Groove Coupling,type-f-1__aluminum-type-f-male-cam-and-groove-couplings,Aluminum Type F Male Adapter x Male NPT Elbow 90 Degree Cam and Groove Couplings,confirmed,0.794,
IH-CRW-BLANK-END-CROWFOOT,316 Stainless Steel Blank End Crowfoot Couplings,,,not-found,,no blank-end crowfoot family on Sealfast
